NAME OF THE COMPANY,,"PAY PACKAGE 
 (Rs. in lakhs p.a.)",BOND,BOND VALUE,NO. PLACED,p_t_id,year,,
,,UG,,,UG,,2016,,
MICROSOFT, HYD,18,NO,NO,8,1,2016,,
MYNTRA DESIGN, B'LORE,19.5,NO,NO,7,1,2016,,
AMAZON, B'LORE,18.5,NO,NO,3,1,2016,,
ADOBE SYSTEMS, B'LORE,20,NO,NO,3,1,2016,,
CODE NATION, B'LORE,24,NO,NO,0,1,2016,,
PRACTO TECH, B'LORE,20,NO,NO,4,1,2016,,
BAJAJ AUTO, PUNE,7.6,NO,NO,4,1,2016,,
DIRECTI, MUMBAI,14.32,NO,NO,1,1,2016,,
VISA INC, BANGALORE,19.5,NO,NO,7,1,2016,,
INTUIT, B'LORE,19.83,NO,NO,6,1,2016,,
SAMSUNG R&D, B'LORE,16,NO,NO,14,1,2016,,
MORGAN STANLEY, MUMBAI,13.4,NO,NO,2,1,2016,,
TEXAS INSTRUMENTS, B'LORE,13.89,NO,NO,6,1,2016,,
GOLDMAN SACHES, B'LORE,20,NO,NO,5,1,2016,,
CISCO, B'LORE,14.14,NO,NO,4,1,2016,,
DELL R&D, B'LORE,7.15,NO,NO,0,1,2016,,
QUALCOMM, B'LORE,13.5,NO,NO,8,1,2016,,
ROVI CORPORATION,,15.15,NO,NO,1,1,2016,,
NETAPP, B'LORE,11.07,NO,NO,2,1,2016,,
INFOSYS, B'LORE,17,NO,NO,1,1,2016,,
MARUTI SUZUKI, N DELHI,5.5,NO,NO,3,1,2016,,
ORACLE, B'LORE,10,NO,NO,11,1,2016,,
WOOQER S.W, B'LORE,13.08,NO,NO,3,1,2016,,
AMERICAN EXPRESS,,0,NO,NO,0,1,2016,,
SANDISK, B'LORE,12.52,NO,NO,4,1,2016,,
AVAYA INDIA, B'LORE,13.4,NO,NO,4,1,2016,,
EDGE VERVE, B'LORE,17,NO,NO,1,1,2016,,
CAPITAL ONE, B'LORE,11.98,NO,NO,2,1,2016,,
THOROGOOD, B'LORE,11,NO,NO,4,1,2016,,
FIDELITY, B'LORE,11.34,NO,NO,23,1,2016,,
QUIKR.COM,,10,NO,NO,6,1,2016,,
ARYAKA NETWORKS, B'LORE,0,NO,NO,0,1,2016,,
GROFERS INDIA, B'LORE,10,NO,NO,7,1,2016,,
SANDVINE TECH, B'LORE,9,1 YEAR,NO,1,1,2016,,
CARWALE.COM,,7.5,NO,NO,2,1,2016,,
COUPAN DUNIA,,13,NO,NO,0,1,2016,,
H U L, MUMBAI,9,NO,NO,2,1,2016,,
DE SHAW, HYDERABAD,20,NO,NO,2,1,2016,,
CREDIT SUISSE, MUMBAI,9.78,NO,NO,4,1,2016,,
J P MORGAN, MUMBAI,8.5,NO,NO,5,1,2016,,
T V S MOTOR,,4.21,NO,NO,1,1,2016,,
FUTURES FIRST, B'LORE,9.2,NO,NO,2,1,2016,,
NATIONAL INSTRUMENTS, B'LORE,10,NO,NO,1,1,2016,,
Z S ASSOCIATES, PUNE,6.38,NO,NO,10,1,2016,,
ITTIAM SYSTEMS, B'LORE,8.35,NO,NO,0,1,2016,,
DR REDDYS LAB, HYDERABAD,7,NO,NO,3,1,2016,,
RIVERBED TECH, B'LORE,0,NO,NO,0,1,2016,,
IBM INDIA-ISDL, B'LORE,0,NO,NO,0,1,2016,,
MU-SIGMA, B'LORE,4.5,NO,NO,3,1,2016,,
DIEBOLD SYSTEMS, MUMBAI,8,NO,NO,3,1,2016,,
AMADEUS S.W, B'LORE,8.02,NO,NO,0,1,2016,,
SWIGGY (BUNDL TECH PVT LTD),,14,NO,NO,4,1,2016,,
CITICORP SERVICES,,13,NO,NO,8,1,2016,,
RELIANCE INDS., MUMBAI,5.5,NO,NO,17,1,2016,,
ROYAL BANK OF SCOTLAND,,8.2,NO,NO,3,1,2016,,
PHILIPS INNOVATION , B'LORE,6.5,NO,NO,3,1,2016,,
CYPRESS SEMICONDUCTOR, B'LORE,0,NO,NO,0,1,2016,,
CLICK LABS,,7.2,NO,NO,1,1,2016,,
TCS DIGITAL, B'LORE,6.3,NO,NO,1,1,2016,,
ROBERT BOSCH, B'LORE,5,NO,NO,13,1,2016,,
SIGMOID ANALYTICS, B'LORE,8,NO,NO,0,1,2016,,
SABRE, B'LORE,8,NO,NO,3,1,2016,,
WIPRO TECH, B'LORE,9,NO,NO,15,1,2016,,
VERITY KNOWLEDGE, HYD,5.57,NO,NO,4,1,2016,,
URBAN ONLINE,,7,NO,NO,0,1,2016,,
KNOLSKAPE,,10,NO,NO,2,1,2016,,
EXL SERVICES, B'LORE,5.25,NO,NO,4,1,2016,,
REDBUS,,6,NO,NO,3,1,2016,,
ACCOLITE S.W., B'LORE,10.5,NO,NO,1,1,2016,,
VIRTUSA CORPN, CHENNAI,5,2 years,NO,0,1,2016,,
PATH PARTNER TECH,,5.5,NO,NO,4,1,2016,,
GALE CREATIVE,,8,NO,NO,1,1,2016,,
3D PLM SOFTWARE, B'LORE,5,18 months,1 lakhs,0,1,2016,,
HALF TICK,,6,NO,NO,2,1,2016,,
mSUPPLY,,7.5,NO,NO,2,1,2016,,
TEK SYSTEMS, B'LORE,6,NO,NO,1,1,2016,,
SYMANTEC SOFTWARE, CHENNAI,8.98,NO,NO,0,1,2016,,
PEPSICO, GURGAON,7.24,NO,NO,2,1,2016,,
FORD MOTOR,,5.5,NO,NO,11,1,2016,,
ICT HEALTH TECH, B'LORE,6,NO,NO,2,1,2016,,
DELOITTE,HYD,6.2,NO,NO,9,1,2016,,
AFFINE ANALYTICS, B'LORE,6,NO,NO,4,1,2016,,
INCTURE TECH,,5,NO,NO,1,1,2016,,
G E INDIA, B'LORE,0,NO,NO,0,1,2016,,
SASKEN COMMUNICATIONS,,0,NO,NO,0,1,2016,,
WALMART LABS, B'LORE,18.57,NO,NO,3,1,2016,,
SAP LAB, B'LORE,8.25,NO,NO,3,1,2016,,
TCS, B'LORE,3.33,2 Years,NO,21,1,2016,,
WELLS FARGO, HYD,8,NO,NO,5,1,2016,,
SAPIENT, B'LORE,4.5,18 Months,NO,0,1,2016,,
ALSTOM,,5,2 Years,2 Lakhs,4,1,2016,,
SRF LTD,,5,NO,NO,0,1,2016,,
FIREEYE,,10,NO,NO,4,1,2016,,
IBM, B'LORE,3.15,NO,NO,3,1,2016,,
SPAN INFOTECH,,4.5,2 Years,NO,4,1,2016,,
GENERAL MOTORS,,6.5,NO,NO,3,1,2016,,
ZOSTEL HOSPITALITY,,7,NO,NO,0,1,2016,,
SIEMENS TECH, B'LORE,5,NO,NO,3,1,2016,,
TATA MOTORS, MUMBAI,6.15,NO,NO,10,1,2016,,
AXIS BANK, MUMBAI,0,NO,NO,0,1,2016,,
INFORMATICA, B'LORE,10.4,NO,NO,1,1,2016,,
ONE CONVERGENCE, HYD,0,NO,NO,0,1,2016,,
L&T CONST., CHENNAI,5.11,NO,NO,11,1,2016,,
UTC, HYD,6.2,NO,NO,2,1,2016,,
V E COMMERCIAL VEHICLES, CHENNAI,5,NO,NO,5,1,2016,,
ACT PVT LTD, B'LORE,7,NO,NO,0,1,2016,,
BMM ISPAT, BELLARY,3.6,3 years,NO,3,1,2016,,
09 SOLUTIONS, B'LORE,8,NO,NO,5,1,2016,,
NESTLE INDIA, ,6,NO,NO,2,1,2016,,
INTEL TECHNOLOGY, B'LORE,8.15,NO,NO,7,1,2016,,
HP R&D, B'LORE,10.5,NO,NO,2,1,2016,,
IPINFUSION SOFTWARE,B'LORE,5.5,NO,NO,4,1,2016,,
KULIZA TECH, B'LORE,6.5,NO,NO,0,1,2016,,
AVERY DENNISON, B'LORE,5,NO,NO,0,1,2016,,
